14;41
50;28
87;19
125;15
162;26
197;43
230;65
267;75
305;72
344;63
381;57
413;36
448;20
486;15
524;21
560;32
599;23
637;14
673;25
702;50
713;87
704;126
685;160
655;184
630;215
604;244
566;253
528;245
492;234
466;206
439;179
409;156
372;144
333;143
298;161
283;198
304;231
337;250
375;252
411;265
426;299
413;335
380;353
343;346
310;328
294;294
270;264
236;247
201;264
163;260
131;236
118;200
127;163
117;126
85;109
47;115
18;138
2;172
8;210
24;244
50;274
71;305
66;342
52;376
34;409
13;440
3;477
24;508
62;511
100;508
137;497
162;468
164;430
148;395
151;358
173;327
209;318
244;333
267;361
266;399
276;436
304;463
335;487
373;493
409;480
432;450
460;424
476;390
482;353
499;320
533;301
570;307
592;337
606;371
603;408
596;444
610;478
632;508
670;505
707;496
